"Class","Grade","Students","Attempts","Total Time","Speed","Accuracy","Real Accuracy","Earned Stars","Earned Score","Typing Time"
"3C","3rd","15","123","2h 23m 27s","8.1 WPM","96.9%","94.1%","110","81,713","1h 55m 6s"
"4B","2nd","2","29","46m 47s","7 WPM","85%","81.7%","44","16,421","43m 15s"
"4C","2nd","1","2","1m 43s","15 WPM","96%","96%","10","3,936","1m 43s"
"4D","2nd","1","25","50m 58s","6 WPM","97.5%","95%","28","12,238","48m 24s"
"4E","4th","17","310","5h 1m 41s","10.2 WPM","99.1%","93.5%","516","260,596","4h 8m 46s"
"5A","5th","20","974","17h 39m 27s","12 WPM","98.6%","91.1%","2,561","1,094,368","14h 19m 6s"
"5B","5th","10","561","8h 55m 27s","12.8 WPM","98.7%","96.6%","1,671","766,113","6h 43m 38s"
"5C","5th","4","76","1h 10m 18s","13.2 WPM","99.3%","95.5%","236","91,800","57m 23s"
"5D","5th","10","137","2h 59s","14.8 WPM","99.5%","95.6%","268","141,857","1h 38m 21s"
"5E","5th","14","211","2h 59m 54s","14.4 WPM","99.6%","96.7%","358","180,293","2h 3m 45s"
"5F","5th","5","17","21m 16s","14.8 WPM","99%","97.6%","26","18,768","12m 47s"
"6A","6th","1","13","10m 55s","12.5 WPM","96.5%","91%","26","11,898","8m 36s"
"6B","6th","6","373","5h 58m 22s","17.2 WPM","99.9%","96.8%","996","450,036","4h 42m 4s"
"6C","6th","12","612","12h 59m 56s","20.5 WPM","98.6%","94.8%","1,661","643,641","11h 50m 24s"
"6D","6th","18","663","12h 34m 6s","17.9 WPM","98.6%","94.3%","2,083","852,382","11h 12m 50s"
"6E","6th","4","314","3h 40m 41s","20.3 WPM","97.5%","92.9%","1,046","521,269","2h 43m 26s"
"7A","7th","13","102","53m 54s","18.5 WPM","99.4%","96.2%","209","122,798","41m 3s"
"7B","7th","19","1,038","14h 46m 13s","15.6 WPM","97.9%","94.6%","2,954","1,366,472","11h 46m 50s"
"7C","7th","30","2,899","1d 7h 58m 28s","20.2 WPM","98.2%","93.9%","7,850","3,749,277","1d 3h 46m 30s"
"7D","7th","20","609","9h 48m 16s","19.4 WPM","98.5%","93.5%","1,983","812,259","8h 25m 7s"
"7E","7th","19","2,616","1d 12h 1m 11s","20.5 WPM","99%","95%","9,031","4,212,631","1d 6h 24m 48s"
"7F","7th","10","654","6h 56m 55s","21 WPM","97.2%","93.7%","2,090","982,484","5h 32m 7s"
