"Class","Class Id","Students","Grade","Attempts","Total Time","Speed","Accuracy","Real Accuracy","Earned Stars","Earned Score","New Lessons","Typing Time","Game Time","Video Time","Story Typing Time"
"3C","16,112,913","15","3","123","2h 23m 27s","8 WPM","92.6%","90.3%","110","83,713","85","1h 55m 6s","5m 58s","22m 23s","-"
"4B","16,066,918","1","2","19","31m 55s","6.3 WPM","71%","65.5%","23","9,662","12","28m 47s","1m 36s","1m 32s","-"
"4C","16,066,919","1","2","2","1m 43s","15 WPM","96%","96%","10","3,936","-","1m 43s","-","-","-"
"4E","16,221,781","17","4","310","5h 1m 41s","10 WPM","96.9%","84.1%","533","271,047","236","4h 8m 46s","23m 48s","29m 7s","-"
"5A","16,112,917","20","5","974","17h 39m 27s","11.6 WPM","96.1%","89%","2,664","1,135,215","811","14h 19m 6s","1h 50m 56s","1h 29m 25s","-"
"5B","16,112,918","10","5","561","8h 55m 27s","12.7 WPM","96.3%","92.7%","1,671","766,113","503","6h 43m 38s","1h 12m 36s","59m 13s","-"
"5C","16,112,919","1","5","2","2m 11s","15 WPM","100%","98%","10","2,470","1","2m 11s","-","-","-"
"5D","16,112,920","10","5","120","1h 50m 58s","15 WPM","97.4%","92.3%","231","120,188","96","1h 29m 49s","8m 22s","12m 47s","-"
"5E","16,112,921","14","5","211","2h 59m 54s","14.3 WPM","96.3%","88.7%","379","188,300","141","2h 3m 45s","28m 9s","28m","-"
"5F","16,112,922","5","5","17","21m 16s","14.8 WPM","96.8%","93.8%","26","18,768","15","12m 47s","-","8m 29s","-"
"6A","16,112,923","1","6","13","10m 55s","12.5 WPM","91.5%","85.5%","26","11,898","11","8m 36s","1m 4s","1m 15s","-"
"6B","16,112,924","5","6","171","3h 2m 39s","18.2 WPM","99.7%","95.5%","508","211,001","133","2h 34m 35s","14m 1s","14m 3s","-"
"6C","16,112,925","7","6","174","4h 45m 15s","21.4 WPM","98.8%","94.9%","369","144,606","82","4h 34m 45s","8m 58s","1m 32s","-"
"6D","16,112,926","5","6","88","2h 15m 50s","16 WPM","96.9%","92.8%","273","75,984","84","2h 11m 17s","4m 28s","5s","-"
"6E","16,112,927","4","6","273","3h 19m 31s","20.7 WPM","96.2%","92.5%","971","481,370","234","2h 26m 41s","36m 27s","16m 23s","-"
"7A","16,112,928","13","7","102","53m 54s","18.5 WPM","95.4%","89.5%","209","122,798","94","41m 3s","4m 49s","8m 2s","-"
"7B","16,112,930","6","7","66","58m 43s","20 WPM","98.4%","94.5%","283","134,655","61","51m 22s","5m 54s","1m 27s","-"
"7C","16,112,931","22","7","1,270","15h 48m 30s","21.6 WPM","96.7%","91.2%","3,684","1,673,741","796","13h 48m 46s","1h 16m 8s","43m 36s","-"
"7D","16,112,932","15","7","391","6h 20m","24.9 WPM","98.2%","94.1%","1,397","585,491","306","5h 28m 28s","28m 17s","23m 15s","-"
"7E","16,112,933","18","7","765","11h 49m 6s","21.9 WPM","98.2%","92.9%","2,896","1,299,843","678","10h 13m","1h 10m 52s","25m 14s","-"
"7F","16,112,934","9","7","462","4h 51m 30s","22.5 WPM","96%","90%","1,469","705,263","365","3h 46m 4s","45m 7s","20m 19s","-"
